k,topic_id,topic_label,domain_code,domain_label,subtheme_code,subtheme_label,alignment_status,overlap,alignment_strength,matched_terms,runner_up_code,runner_up_overlap,runner_up_domain,nmf_keywords,lda_keywords,top_5_nmf,lda_coherence,n_comments,pct_of_corpus
20,0,T00,B,Institutional and Course Evaluation,B1,Course evaluation,aligned,2,0.17,"course, subject",,0,,course | choice | math | shift | take | management | honor course | honor | psych | subject | science | passed,ateneo | deadline | applicant | process | admission | rejected | dorm | enlistment | office | wait,"course, choice, math, shift, take",0.45729360299047545,450,1.9
20,1,T01,A,Faculty Performance Evaluation,A2,Grading and assessment,ambiguous,1,0.08,deadline,,0,,result | waitlisted | week | applicant | huhu | june | last | release | recon | received | deadline | mine,friend | use | join | group | guy | looking | country | name | personally | money,"result, waitlisted, week, applicant, huhu",0.45729360299047545,645,2.7
20,2,T02,A,Faculty Performance Evaluation,A3,Professional conduct,ambiguous,1,0.08,email,,0,,email | send | received | send email | oaa | receive | received email | confirmation | sent | yet | form | call,subject | math | question | last | sem | exam | yet | year | received | health,"email, send, received, send email, oaa",0.45729360299047545,944,3.9
20,3,T03,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,inductive_candidate,0,0.0,,,0,,year | first | first year | last | last year | shift | sem | second | freshman | second year | school year | apply,student | year | since | work | yes | college | one | experience | big | many,"year, first, first year, last, last year",0.45729360299047545,1100,4.6
20,4,T04,A,Faculty Performance Evaluation,A1,Teaching effectiveness,aligned,2,0.17,"teaching, teach",D4,1,D,prof | sir | term | chill | good prof | pick | subject | teaching | nya | depends prof | teach | prof pick,read | area | near | manila | night | jeep | book | preferred | condo | traffic,"prof, sir, term, chill, good prof",0.45729360299047545,781,3.2
20,5,T05,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,inductive_candidate,0,0.0,,,0,,appeal | letter | recon | appeal letter | rejected | slot | finaid | chance | waitlisted | reconsideration | endorsement | letter appeal,issue | admin | call | wrong | used | nothing | unless | building | self | left,"appeal, letter, recon, appeal letter, rejected",0.45729360299047545,626,2.6
20,6,T06,D,Community Norms and Relational Dynamics,D2,Solidarity and support,ambiguous,1,0.08,sana,,0,,yan | mag | nag | hahaha | tapos | sana | nung | pwede | lahat | alam | walang | parang,class | day | week | unit | room | task | per | hour | online | start,"yan, mag, nag, hahaha, tapos",0.45729360299047545,3347,13.9
20,7,T07,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,aligned,3,0.25,"ateneo, admu, dlsu",,0,,school | high | high school | ateneo | admu | dlsu | school year | dream | science | dream school | form | college,course | program | first | year | take | ust | choice | campus | management | change,"school, high, high school, ateneo, admu",0.45729360299047545,905,3.7
20,8,T08,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,inductive_candidate,0,0.0,,,0,,program | change | degree | degree program | choice | request | change program | change degree | honor | honor program | request change | accepted,sorry | interview | reply | soon | today | report | bio | lab | ata | appreciate,"program, change, degree, degree program, choice",0.45729360299047545,1315,5.4
20,9,T09,D,Community Norms and Relational Dynamics,D4,Filipino cultural evaluation frames,ambiguous,1,0.08,sir,D2,1,D,good | luck | good luck | see | sir | best | congrats | best luck | good prof | journey | exam | good grade,recommendation | tao | recently | anong | uni | car | proof | exact | air | namang,"good, luck, good luck, see, sir",0.45729360299047545,663,2.7
