topic_id,topic_label,alignment_status,nearest_subtheme,overlap,matched_terms,n_comments,keywords,exemplar_1,exemplar_2,exemplar_3
1,T01,ambiguous,A2 Grading and assessment,1,deadline,645,result | waitlisted | week | applicant | huhu | june | last | release | recon | received | deadline | mine,"Insubmitted my letter a week after ingot my results, i got my results a month later","truee, huhu. i’m a waitlisted applicant and hanggang ngayon wala pa rin results ko huhu. pero they assured me na within this month daw ilalabas yung results. so","me too,, i hope alphabetical lang nirerelease yung results kaya I still don't have mine xD"
2,T02,ambiguous,A3 Professional conduct,1,email,944,email | send | received | send email | oaa | receive | received email | confirmation | sent | yet | form | call,They didn't ask me to email them naman. Thank you!,Hellooo ..To which email did you send it? Can I get the email thank you,Has anyone not received their emails regarding their Ateneo email credentials? The last email I got last week was from OAAA which said that they will send anoth
3,T03,inductive_candidate,(none),0,,1100,year | first | first year | last | last year | shift | sem | second | freshman | second year | school year | apply,"Hi, 2nd Year MS Micro here. You can PM me 😊","There is, I'm not sure lang for this year.","it was the same last year, i don’t know if they will change it this year."
5,T05,inductive_candidate,(none),0,,626,appeal | letter | recon | appeal letter | rejected | slot | finaid | chance | waitlisted | reconsideration | endorsement | letter appeal,Hi! Is this for the appeal also po?,thank you!! pinasa ko appeal ko may 16 pa lang :)),"The biggest lesson UP teaches most people (especially those with crap grades like me) is to appeal, appeal, appeal. There's even an appeal for late appeals lol"
6,T06,ambiguous,D2 Solidarity and support,1,sana,3347,yan | mag | nag | hahaha | tapos | sana | nung | pwede | lahat | alam | walang | parang,tutukan mo po ng baril tatahimik po yan o di na magpapakita🤣,pangarap pa pala namin iaadjust namin sa mga yan hanep,Woah siryoso? Dapat i-report na yan di pwede yan
8,T08,inductive_candidate,(none),0,,1315,program | change | degree | degree program | choice | request | change program | change degree | honor | honor program | request change | accepted,"I'm planning to change my degree program to a 1 specific degree, however I have to fill up 2 more degree programs. If I did not like the other 2 degree programs",can I request for another change of program if I didn't qualify for the program I wanted to change into first?,Shifting from a degree program to an honors program Is there anyway I can shift my program from a regular old degree program to an honors one some time in the f
9,T09,ambiguous,D4 Filipino cultural evaluation frames,1,sir,663,good | luck | good luck | see | sir | best | congrats | best luck | good prof | journey | exam | good grade,thank you so so much! good luck to us! \^\^,Thank you! Good luck to you too 💙,hiiii same here please thank u :(( and good luck to u too op! <3
10,T10,ambiguous,B1 Course evaluation,1,subject,1115,class | online | pre | online class | enlisted | schedule | subject | enlist | enlistment | pre enlisted | week | start,Haha! You’re not our classes were 7am to 8pm.,"The registrar pre-enlists all freshmen's major classes, so it's really unpredictable. When I was a freshman, the only classes that the registrar didn't pre-enli",It would get you out of the class but you may not necessarily get the class you want.
12,T12,ambiguous,B3 Comparative institutional evaluation,1,better,4493,one | friend | better | work | help | experience | best | right | see | life | find | since,"Thank you so muchh, it means a lot to me to know that I'm not the only one ","Honestly, I forgot about this one, especially the etiquette on ejeeps and shuttles that we have in Benilde. Sorry for that one tho. Anywho, I updated the post a",ESPECIALLY the ones not bothering me 'cause i know they ain't throwing back
14,T14,ambiguous,B3 Comparative institutional evaluation,1,benilde,959,like | nakapasa | benilde | seems | seems like | sound | feel | bad | sound like | feel like | etc | system,https://www.ateneo.edu/document/2023/07/29/Undergraduate-Completion-of-INC-NE-First-Semester-SY-2023-2024 Looks like may binabagsak pa rin naman sila,"Same as you, I'd like to ask too.",upping this comment because I would like to also know
15,T15,ambiguous,B3 Comparative institutional evaluation,1,admu,1114,hello | question | incoming | huhu | form | admu | freshman | hello incoming | incoming freshman | freshie | anyone | exam,hello! how did they do it po if i may ask,"Hello, if its okay to ask, what college is this po? :' ))",hello op! you can check out their spotify playlist na lang https://open.spotify.com/playlist/2GFL7ICWrNq2uRpbV7U04F?si=ArPXReNbTuCwrQjdLuX0Xw&pi=n-8tcpQGTMC3U
16,T16,inductive_candidate,(none),0,,594,yes | send | long | term | free | teacher | campus | message | yes possible | omg | start | check,Oh yes :)) we all know that din 🙈😛,Yes. Yes they do. Why else would they make them do it.,"Yes, but for your 3rd and 4th year you can go up to 100%"
19,T19,ambiguous,A2 Grading and assessment,1,exam,1560,time | day | take | first | math | long | exam | next | first time | week | hour | part,"you have so much more time, op :)",yes go for it!! may time pa naman,Why do you have so much time for this HAHAHA
