topic_id,topic_label,alignment_status,domain_code,domain_label,subtheme_code,subtheme_label,overlap,alignment_strength,matched_terms,runner_up_code,runner_up_overlap,runner_up_domain,top_5_nmf,nmf_keywords
0,T00,aligned,B,Institutional and Course Evaluation,B1,Course evaluation,2,0.17,"course, subject",,0,,"course, choice, math, take, shift",course | choice | math | take | shift | management | honor | honor course | subject | science | psych | passed
1,T01,ambiguous,A,Faculty Performance Evaluation,A2,Grading and assessment,1,0.08,deadline,,0,,"hello, result, huhu, week, waitlisted",hello | result | huhu | week | waitlisted | recon | applicant | june | last | anyone | deadline | received
2,T02,ambiguous,A,Faculty Performance Evaluation,A3,Professional conduct,1,0.08,email,B3,1,B,"email, send, received, confirmation, send email",email | send | received | confirmation | send email | oaa | receive | received email | yet | sent | ateneo | call
3,T03,ambiguous,B,Institutional and Course Evaluation,B1,Course evaluation,1,0.08,subject,,0,,"year, first, first year, last, last year",year | first | first year | last | last year | sem | shift | second | freshman | second year | subject | school year
4,T04,ambiguous,D,Community Norms and Relational Dynamics,D4,Filipino cultural evaluation frames,1,0.08,sir,A2,1,A,"prof, sir, grade, term, chill",prof | sir | grade | term | chill | subject | good prof | pick | report | nya | teaching | depends prof
5,T05,ambiguous,A,Faculty Performance Evaluation,A2,Grading and assessment,1,0.08,grade,,0,,"appeal, letter, recon, rejected, appeal letter",appeal | letter | recon | rejected | appeal letter | waitlisted | chance | slot | finaid | grade | reconsideration | endorsement
6,T06,ambiguous,D,Community Norms and Relational Dynamics,D2,Solidarity and support,1,0.08,sana,,0,,"yan, mag, nag, hahaha, tapos",yan | mag | nag | hahaha | tapos | sana | nung | pwede | lahat | alam | walang | parang
7,T07,aligned,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,3,0.25,"ateneo, admu, dlsu",A2,1,A,"school, high, grade, high school, ateneo",school | high | grade | high school | ateneo | admu | dlsu | form | school year | dream | college | science
8,T08,inductive_candidate,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,0,0.0,,,0,,"program, change, degree, degree program, choice",program | change | degree | degree program | choice | request | change program | change degree | honor | honor program | request change | shift
9,T09,aligned,A,Faculty Performance Evaluation,A2,Grading and assessment,2,0.17,"grade, exam",D4,1,D,"good, luck, good luck, sir, best",good | luck | good luck | sir | best | see | grade | exam | math | congrats | good grade | best luck
10,T10,ambiguous,B,Institutional and Course Evaluation,B1,Course evaluation,1,0.08,subject,,0,,"class, online, subject, pre, day",class | online | subject | pre | day | schedule | online class | enlistment | enlisted | week | enlist | pre enlisted
11,T11,aligned,B,Institutional and Course Evaluation,B2,Institutional policies,4,0.33,"scholarship, financial, fee, tuition",B3,1,B,"scholarship, aid, apply, financial, fee",scholarship | aid | apply | financial | fee | financial aid | ateneo | tuition | fin | fin aid | finaid | application
12,T12,inductive_candidate,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,0,0.0,,,0,,"yes, send, long, term, free",yes | send | long | term | free | teacher | mean | campus | message | question | yes possible | check
13,T13,aligned,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,2,0.17,"dlsu, benilde",B2,1,B,"student, dlsu, benilde, professor, university",student | dlsu | benilde | professor | university | campus | many | number | incoming | admin | current | issue
14,T14,ambiguous,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,1,0.08,better,,0,,"like, one, time, friend, work",like | one | time | friend | work | better | see | help | day | right | take | life
