topic_id,topic_label,alignment_status,domain_code,domain_label,subtheme_code,subtheme_label,overlap,alignment_strength,matched_terms,runner_up_code,runner_up_overlap,runner_up_domain,top_5_nmf,nmf_keywords
0,T00,aligned,B,Institutional and Course Evaluation,B1,Course evaluation,2,0.17,"course, subject",,0,,"course, choice, math, shift, take",course | choice | math | shift | take | management | honor course | honor | psych | subject | science | passed
1,T01,ambiguous,A,Faculty Performance Evaluation,A2,Grading and assessment,1,0.08,deadline,,0,,"result, waitlisted, week, applicant, huhu",result | waitlisted | week | applicant | huhu | june | last | release | recon | received | deadline | mine
2,T02,ambiguous,A,Faculty Performance Evaluation,A3,Professional conduct,1,0.08,email,,0,,"email, send, received, send email, oaa",email | send | received | send email | oaa | receive | received email | confirmation | sent | yet | form | call
3,T03,inductive_candidate,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,0,0.0,,,0,,"year, first, first year, last, last year",year | first | first year | last | last year | shift | sem | second | freshman | second year | school year | apply
4,T04,aligned,A,Faculty Performance Evaluation,A1,Teaching effectiveness,2,0.17,"teaching, teach",D4,1,D,"prof, sir, term, chill, good prof",prof | sir | term | chill | good prof | pick | subject | teaching | nya | depends prof | teach | prof pick
5,T05,inductive_candidate,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,0,0.0,,,0,,"appeal, letter, recon, appeal letter, rejected",appeal | letter | recon | appeal letter | rejected | slot | finaid | chance | waitlisted | reconsideration | endorsement | letter appeal
6,T06,ambiguous,D,Community Norms and Relational Dynamics,D2,Solidarity and support,1,0.08,sana,,0,,"yan, mag, nag, hahaha, tapos",yan | mag | nag | hahaha | tapos | sana | nung | pwede | lahat | alam | walang | parang
7,T07,aligned,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,3,0.25,"ateneo, admu, dlsu",,0,,"school, high, high school, ateneo, admu",school | high | high school | ateneo | admu | dlsu | school year | dream | science | dream school | form | college
8,T08,inductive_candidate,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,0,0.0,,,0,,"program, change, degree, degree program, choice",program | change | degree | degree program | choice | request | change program | change degree | honor | honor program | request change | accepted
9,T09,ambiguous,D,Community Norms and Relational Dynamics,D4,Filipino cultural evaluation frames,1,0.08,sir,D2,1,D,"good, luck, good luck, see, sir",good | luck | good luck | see | sir | best | congrats | best luck | good prof | journey | exam | good grade
10,T10,ambiguous,B,Institutional and Course Evaluation,B1,Course evaluation,1,0.08,subject,,0,,"class, online, pre, online class, enlisted",class | online | pre | online class | enlisted | schedule | subject | enlist | enlistment | pre enlisted | week | start
11,T11,aligned,B,Institutional and Course Evaluation,B2,Institutional policies,2,0.17,"scholarship, financial",B3,1,B,"scholarship, aid, apply, financial, financial aid",scholarship | aid | apply | financial | financial aid | ateneo | fin | fin aid | application | finaid | scholar | aid scholarship
12,T12,ambiguous,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,1,0.08,better,,0,,"one, friend, better, work, help",one | friend | better | work | help | experience | best | right | see | life | find | since
13,T13,aligned,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,2,0.17,"dlsu, benilde",B2,1,B,"student, dlsu, benilde, professor, university",student | dlsu | benilde | professor | university | campus | many | number | current | admin | issue | incoming
14,T14,ambiguous,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,1,0.08,benilde,B2,1,B,"like, nakapasa, benilde, seems, seems like",like | nakapasa | benilde | seems | seems like | sound | feel | bad | sound like | feel like | etc | system
15,T15,ambiguous,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,1,0.08,admu,A2,1,A,"hello, question, incoming, huhu, form",hello | question | incoming | huhu | form | admu | freshman | hello incoming | incoming freshman | freshie | anyone | exam
16,T16,inductive_candidate,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,0,0.0,,,0,,"yes, send, long, term, free",yes | send | long | term | free | teacher | campus | message | yes possible | omg | start | check
17,T17,aligned,A,Faculty Performance Evaluation,A2,Grading and assessment,2,0.17,"grade, exam",B1,1,B,"grade, exam, high, requirement, subject",grade | exam | high | requirement | subject | chance | final | grade grade | math | sir | upcat | pas
18,T18,aligned,B,Institutional and Course Evaluation,B2,Institutional policies,2,0.17,"fee, tuition",,0,,"fee, tuition, pay, confirmation, tuition fee",fee | tuition | pay | confirmation | tuition fee | confirmation fee | reservation | reservation fee | paid | payment | pay reservation | pay confirmation
19,T19,ambiguous,A,Faculty Performance Evaluation,A2,Grading and assessment,1,0.08,exam,,0,,"time, day, take, first, math",time | day | take | first | math | long | exam | next | first time | week | hour | part
